"id";"word";"phrase";"gloss"
"a#01665065";" antiquus cascus longaevus priscus vetus vetustus ";"";""
"a#01667095";" annosus antiquus canus senectus veteranus vetus ";"";""
"a#01669963";" natus ";"";""
"a#01672718";" animaequus longanimis patiens ";"";""
"a#01674134";" festinus impatiens intolerabilis intolerans ";"";""
"a#01678209";" pacatus quietus ";"";""
"a#01678759";" aequanimus compositus imperturbatus pacatus placatus placidus quietus sedatus serenus tranquillus ";"";""
"a#01680772";" armipotens bellatorius bellicosus bellifer bellosus duellicus ";"";""
"a#01680937";" contritus ";"";""
"a#01681912";" acer acutus argutulus asper mordax penetrabilis sagax ";"";""
"a#01683840";" perceptibilis sensibilis ";"";""
"a#01686285";" absolutus consummatus perfectus ";"";""
"a#01688857";" claudus defectivus ";"";""
"a#01691661";" momentarius temporalis temporarius ";"";""
"a#01694088";" tenax ";"";""
"a#01705354";" persuasibilis suadus suasorius ";"";""
"a#01706580";" penetrabilis ";"";""
"a#01706732";" impenetrabilis ";"";""
"a#01713215";" pius religiosus ";"";""
"a#01714058";" impius irreligiosus nefandus profanus sacrilegus ";"";""
"a#01714321";" religiosus ";"";""
"a#01715131";" irreligiosus ";"";""
"a#01716198";" inexpiabilis ";"";""
"a#01720635";" attenuatus frugalis gracilis nudus simplex ";"";""
"a#01721444";" frugalis gracilis simplex ";"";""
"a#01728957";" amabilis blandulus bonus dulcis suavis ";"";""
"a#01730232";" ingratus ";"";""
"a#01730738";" causticus ";"";""
"a#01733361";" contentus libens ";"";""
"a#01739045";" acer acuminatus acutus argutulus asper mordax sagax ";"";""
"a#01741006";" acutus argutulus sagax ";"";""
"a#01741091";" obtusus ";"";""
"a#01741183";" levis rasilis ";"";""
"a#01744822";" popularis ";"";""
"a#01750551";" possibilis ";"";""
"a#01752468";" impossibilis ";"";""
"a#01753470";" firmus fortis pollens potens valens validus ";"";""
"a#01754542";" masculus virilis ";"";""
"a#01754717";" fortis imperiosus magnus potens valens validus viripotens ";"";""
"a#01758782";" valens ";"";""
"a#01761384";" ingenuus spontaneus ";"";""
"a#01762361";" incultus ";"";""
"a#01762874";" activus actualis practicus ";"";""
"a#01765920";" definitus ";"";""
"a#01768163";" praecoquis praecoquus praecox ";"";""
"a#01769338";" frugalis gracilis simplex ";"";""
"a#01771525";" apparatus instructus paratus ";"";""
"a#01779195";" attenuatus frugalis gracilis levis modestus pudens purus simplex verecundus ";"";""
"a#01790261";" apertus forensis publicus ";"";""
"a#01793947";" fructuosus ";"";""
"a#01796064";" generativus ";"";""
"a#01799641";" compendiosus conducibilis fructuosus pecuniosus quaestuosus utilis ";"";""
"a#01801376";" altus profundus ";"";""
"a#01808261";" dehonestus ";"";""
"a#01809563";" divinus faticanus fatidicus providus pythonicus sortilegus ";"";""
"a#01812371";" cautus securus tutus ";"";""
"a#01817423";" contumax fastosus magnificus superbus ";"";""
"a#01821083";" brevis humilis ";"";""
"a#01823683";" improvidus ";"";""
"a#01825807";" catus cautus circumspectus cordatus prudens tutus ";"";""
"a#01829998";" serus ";"";""
"a#01830655";" amarus asper austerus ";"";""
"a#01832717";" impunitus inultus ";"";""
"a#01834425";" adulterinus ";"";""
"a#01836670";" albus apertus candidus clarus enucleatus illustris liquidus lucidus manifestus perspicuus purus ";"";""
"a#01837595";" frugalis gracilis simplex ";"";""
"a#01848000";" indubitatus ";"";""
"a#01850366";" sonorus ";"";""
"a#01855798";" concussus inquies inquietus ";"";""
"a#01856161";" anxius inquies inquietus ";"";""
"a#01862436";" alacer apparatus aptus paratus praesentarius promptus ";"";""
"a#01870741";" germanus legitimus verus ";"";""
"a#01874606";" rationabilis sanus ";"";""
"a#01876713";" alternus ";"";""
"a#01895717";" insanabilis ";"";""
"a#01896627";" irreparabilis ";"";""
"a#01899335";" typicus ";"";""
"a#01907738";" immemor ";"";""
"a#01916477";" abstrusus ";"";""
"a#01917404";" irrefragabilis ";"";""
"a#01917862";" constans obnixus obstinatus ";"";""
"a#01921872";" pius ";"";""
"a#01929458";" defrenatus effrenatus effrenus infrenis solutus ";"";""
"a#01935109";" obliviosus ";"";""
"a#01940621";" religiosus reverens ";"";""
"a#01941207";" irreverens ";"";""
"a#01945783";" inflatus ";"";""
"a#01947972";" metricus numerosus rhythmicus ";"";""
"a#01957304";" aequimanus ";"";""
"a#01960691";" corniger cornutus ";"";""
"a#01964598";" firmus robustus valens ";"";""
"a#01966361";" fragilis infirmus tener ";"";""
"a#01966694";" circinatus globosus orbiculatus rotundus ";"";""
"a#01973612";" bucolicus ";"";""
"a#01976243";" pius sacer sacratus sanctus ";"";""
"a#01977415";" augustus religiosus sacer sacratus sanctus ";"";""
"a#01979020";" profanus ";"";""
"a#01980655";" cautus salvus securus tutus ";"";""
"a#01981873";" dubius infestus intutus periculosus ";"";""
"a#01991315";" alius ";"";""
"a#01996274";" delirus insanus ";"";""
"a#02000077";" hiulcus inexplebilis inexpletus insatiabilis profundus ";"";""
"a#02000611";" dicax ";"";""
"a#02006624";" religiosus scrupulosus ";"";""
"a#02007200";" attentus pius ";"";""
"a#02010891";" abstrusus tectus ";"";""
"a#02018977";" certus ";"";""
"a#02019099";" infestus ";"";""
"a#02022535";" pellax suasorius ";"";""
"a#02035198";" distinctus diversus separ ";"";""
"a#02043566";" gravis intentus serius severus sonticus ";"";""
"a#02045053";" delicatus ";"";""
"a#02046203";" lascivus ";"";""
"a#02047720";" lectus ";"";""
"a#02061900";" salax ";"";""
"a#02071477";" tonsilis ";"";""
"a#02076031";" caecus ";"";""
"a#02078228";" amplus gravis ";"";""
"a#02081029";" minutus parvus tenuis ";"";""
"a#02081898";" significans ";"";""
"a#02086641";" compositicius compositus copulatus ";"";""
"a#02090222";" frugalis gracilis simplex ";"";""
"a#02091753";" multiplex ";"";""
"a#02097385";" pluralis plurativus ";"";""
"a#02097792";" cardinalis ";"";""
"a#02120292";" consultus doctus eruditus exercitatus peritus prudens sciens ";"";""
"a#02125911";" crassus grossus ";"";""
"a#02126746";" bellus gracilis subtilis tenuis ";"";""
"a#02128891";" levis lubricus ";"";""
"a#02148682";" communis ";"";""
